'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA'
3007, 80, 350, 876, 475, 297, 876, 876, 876, 876, 332, 876, 316, 661, 876, 876, 876, 311, 275, 349, 382
3008, 81, 276, 691, 402, 379, 691, 691, 691, 1663, 691, 691, 367, 691, 388, 691, 459, 376, 691, 799, 374
3009, 83, 943, 2072, 565, 352, 289, 335, 1676, 311, 349, 2072, 2072, 2072, 325, 347, 429, 2072, 338, 375, 2072
3010, 85, 677, 1517, 470, 315, 1517, 1517, 1517, 1517, 386, 468, 1517, 394, 416, 402, 372, 349, 335, 499, 417
3011, 82, 143, 468, 468, 468, 468, 468, 468, 468, 468, 468, 443, 468, 468, 468, 419, 468, 361, 334, 360
3012, 81, 173, 523, 450, 390, 353, 523, 523, 523, 523, 523, 523, 309, 523, 523, 523, 327, 344, 331, 523
3013, 80, 350, 876, 475, 297, 876, 876, 876, 876, 332, 876, 316, 661, 876, 876, 876, 311, 275, 349, 382
3014, 81, 276, 691, 402, 379, 691, 691, 691, 1663, 691, 691, 367, 691, 388, 691, 459, 376, 691, 799, 374
3015, 68, 2156, 4458, 349, 515, 11815, 433, 450, 768, 449, 532, 19691, 450, 467, 384, 418, 432, 383, 385, 383
3016, 64, 1237, 2594, 333, 500, 851, 351, 400, 332, 334, 2594, 465, 334, 450, 408, 504, 350, 316, 384, 352
3017, 63, 588, 1305, 317, 432, 300, 484, 400, 401, 478, 883, 367, 449, 309, 467, 1334, 385, 366, 301, 365
3018, 67, 2633, 5414, 279, 1310, 948, 300, 400, 401, 383, 5414, 534, 316, 449, 399, 334, 367, 300, 40513, 400
3019, 64, 1001, 2139, 501, 384, 283, 367, 2139, 320, 367, 284, 3590, 2139, 433, 514, 416, 578, 331, 299, 400
3020, 77, 575, 1325, 301, 1325, 2738, 368, 1325, 1325, 421, 1325, 332, 340, 3797, 1325, 374, 1325, 361, 376, 1325
3021, 85, 1499, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831, 2831
3022, 83, 322, 824, 378, 824, 824, 824, 824, 824, 824, 824, 824, 824, 451, 350, 824, 824, 824, 824, 466
3023, 82, 1972, 4119, 359, 338, 380, 362, 359, 888, 413, 424, 970, 446, 505, 358, 451, 364, 356, 345, 367
3024, 85, 631, 1471, 1471, 1471, 2871, 430, 1471, 348, 746, 1471, 1471, 1471, 1471, 494, 1471, 320, 325, 1471, 1471
