userID,avgHoldTime,avgSeekTime,averageNgramTime, I , AL, S , KS, EI, D , AK, L ,  O, LE, MA, IN, SI, EL, E , JA, LA,label
496,82,2661,5488,457,336,157,1005,197,380,264,356,284,346,607,467,159,342,191,1011,272,1
497,82,2646,5459,433,901,324,294,197,575,247,446,230,346,607,2701,159,202,269,300,508,1
498,82,2627,5421,219,706,202,240,171,643,159,269,235,403,433,408,508,419,433,279,632,1
499,84,4076,8324,1862,327,610,1199,267,434,330,265,321,353,393,1435,304,476,245,263,248,1
501,84,3834,7839,279,573,256,334,381,687,265,428,255,447,270,466,258,406,354,270,289,1
502,84,3662,7495,371,420,629,343,188,435,134,468,324,377,4990,1156,1947,288,420,384,570,1
503,84,3522,7214,401,499,421,216,411,417,134,291,2946,663,290,299,339,288,678,229,389,1
504,84,3427,7023,659,517,240,244,292,442,283,338,374,838,401,226,251,430,654,288,349,1
505,83,3221,6610,324,299,523,300,8726,296,304,265,198,297,255,382,413,212,277,230,416,1
506,83,3114,6396,315,250,305,321,4968,537,411,320,482,258,273,251,411,668,411,263,418,1
507,83,2979,6126,287,348,340,330,297,428,437,506,441,282,307,345,301,306,229,402,275,1
508,83,2882,5932,348,295,227,212,295,509,223,382,340,358,267,452,429,243,517,487,732,1
509,83,2875,5916,400,421,848,344,186,377,293,470,527,502,414,346,1232,161,432,1348,305,1
510,84,1804,3779,306,492,276,272,414,358,804,281,394,1101,671,235,359,374,330,211,373,1
512,84,1787,3743,401,492,181,264,181,351,315,281,260,708,322,235,454,374,308,2074,253,1
513,84,1776,3722,405,564,170,375,181,270,573,352,453,408,322,235,454,324,326,774,472,1
514,84,1762,3694,405,241,170,256,181,513,573,352,728,589,217,235,432,324,326,213,449,1
728,76,799,1755,773,724,272,255,708,272,384,360,3629,337,270,590,1140,566,263,264,350,2
736,78,667,1495,350,653,694,439,523,265,327,494,699,333,680,323,367,215,906,182,431,2
739,79,1127,2416,698,297,231,205,384,283,460,331,399,510,283,335,250,250,520,389,320,2
879,89,548,1278,505,213,220,408,345,350,918,638,420,309,382,328,545,478,2601,367,315,2
903,82,1001,2175,300,263,402,350,365,768,313,334,396,602,863,401,559,285,321,282,380,2
909,77,400,957,350,428,781,336,490,718,258,430,516,334,310,385,306,416,366,615,414,2
965,80,730,1622,352,448,296,312,207,432,184,368,424,336,418,320,120,248,215,361,296,2
974,100,943,2090,756,459,355,467,325,385,552,364,281,764,334,365,646,375,409,435,909,2
976,118,1440,3127,330,511,1202,586,540,798,1080,470,761,570,398,636,340,493,942,391,423,2
979,76,951,2056,42146,633,245,497,369,286,750,953,1184,399,417,316,981,1134,568,2605,451,2
981,84,3237,6661,415,234,350,531,369,383,13679,463,335,299,249,432,30488,353,250,234,423,2
998,83,662,1495,416,423,392,312,488,403,369,779,3965,968,1269,505,1315,328,900,579,588,3
1021,84,1224,2623,601,466,387,632,381,1218,368,404,319,393,1279,384,1499,566,406,863,397,3
1223,61,1176,2481,656,547,1297,313,344,359,578,1843,484,469,297,484,328,360,328,2281,640,3
1283,84,1019,2210,327,1606,504,449,417,814,322,548,325,361,3399,410,477,381,467,313,584,3
1286,93,4467,9136,819,323,1246,558,948,1193,497,705,1091,657,407,470,443,448,287,898,3113,3
1784,86,876,1931,1027,820,698,797,770,682,907,967,3558,693,887,665,560,805,438,560,1092,3
1858,89,1506,3197,530,510,650,1003,675,782,393,980,15848,597,488,460,1295,835,480,1690,510,3
1875,88,454,1091,450,315,357,277,290,258,397,302,1713,332,320,1233,259,480,408,322,893,3
1879,84,1256,2686,668,559,379,630,489,2903,899,520,841,308,751,529,669,350,312,714,717,3
1898,100,736,1678,917,334,260,614,453,420,456,420,590,613,407,490,591,1097,374,553,384,3
1908,59,822,1767,448,256,432,320,448,304,368,400,512,336,351,400,336,320,384,352,384,3
1940,87,1138,2454,593,444,361,530,851,352,794,481,451,2142,605,412,451,461,635,681,552,3
1949,88,905,1989,735,321,512,330,674,2765,292,542,483,684,655,423,3652,392,380,353,437,3
1953,86,690,1557,438,610,494,507,617,349,425,395,731,549,598,586,795,823,537,718,527,3
1958,87,687,1551,534,393,544,414,587,548,485,344,9799,557,605,656,2429,524,463,469,499,3
1983,86,1932,4041,512,561,362,670,2038,1605,391,621,542,511,612,481,341,371,300,610,502,3
2012,91,2092,4377,558,379,392,1229,1346,2099,919,608,548,519,1052,687,499,393,4167,260,2428,3
2025,79,701,1563,1008,738,721,470,461,531,619,12961,501,662,668,408,506,560,742,550,622,3
2030,64,977,2099,821,784,723,670,2666,632,673,528,552,571,1030,547,585,961,470,725,908,3
2033,81,1548,3263,620,503,2249,550,560,720,1110,340,1871,690,911,430,411,651,769,2019,1155,3
2035,77,681,1518,493,492,1611,473,845,373,551,350,2146,907,440,412,331,536,421,464,784,3
2054,88,1363,2907,653,635,423,554,533,383,574,513,443,473,394,470,254,302,532,473,462,3
2055,86,659,1492,610,461,1051,589,630,383,9768,501,845,602,724,431,421,401,620,629,1110,3
2174,72,1118,2383,462,351,1451,1193,285,1264,450,634,685,433,398,369,432,1383,9715,344,450,3
2219,74,866,1887,408,328,256,320,280,312,303,368,385,296,503,392,272,336,272,320,336,3
2265,80,659,1483,418,671,2027,365,252,285,305,654,337,615,323,4081,602,922,339,415,586,3
2420,32,2712,5497,1127,1198,888,1007,1069,1690,1127,694,1021,879,1287,911,782,885,701,1059,1162,4
2435,106,565,1346,648,464,544,584,624,576,816,664,600,953,600,720,792,592,547,592,424,4
2465,99,457,1114,521,357,282,382,706,400,256,432,332,1390,227,459,290,655,906,327,478,4
2476,70,1847,3843,539,648,627,659,848,838,738,718,907,519,618,768,658,848,957,688,4338,4
